acapite,appURL,descripcionEtapa,descripcionSubEtapa,estadoProyecto,expedienteCamara,fechaIngresoExpediente,idProyecto,iniciativa,origenProyecto,tipoProyecto,urgencia
"Proyecto de Resolución “QUE SOLICITA INFORME AL PODER EJECUTIVO – MINISTERIO DE RELACIONES EXTERIORES”, presentado por la Senadora Desirée Graciela Masi Jara, de fecha 25 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128090,PRIMER TRÁMITE CONSTITUCIONAL,INGRESO DE RESPUESTA A PEDIDO DE INFORME,EN TRAMITE,S-2311454,25/04/2023,128090,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE PIDE INFORMES AL PODER EJECUTIVO - SECRETARIA NACIONAL DE CULTURA (SNC) - CONFORME A DENUNCIAS ARRIMADAS ANTE LA COMISION DE EDUCACION, CULTURA Y CULTO. Presentado por el Diputado Sebastián Villarejo. ",http://silpy.congreso.gov.py/expediente/128089,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,D-2371823,24/04/2023,128089,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE PIDE INFORME AL PODER EJECUTIVO-MINISTERIO DEL INTERIOR -POLICIA NACIONAL, en relación al trágico y lamentable crimen de una niña de 3 años de edad del asentamiento Romero Cué de la Ciudad de Pedro Juan Caballero, Dpto. de Amambay presentado por los Diputados  Tito Ibarrola y Carlos Rejala.",http://silpy.congreso.gov.py/expediente/128088,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,D-2371824,28/04/2023,128088,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE PIDE INFORME AL PODER EJECUTIVO - SECRETARIA NACIONAL ANTIDROGAS (SENAD), presentado por los Diputados Nacionales Carlos Rejala y Tito Ibarrola",http://silpy.congreso.gov.py/expediente/128087,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,D-2371825,28/04/2023,128087,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE DESAFECTA DEL DOMINIO PUBLICO MUNICIPAL Y AUTORIZA A LA MUNICIPALIDAD DE LAMBARE A TRANSFERIR A TITULO ONEROSO A FAVOR DE LOS ACTUALES OCUPANTES, PARTE DEL DOMINIO PUBLICO MUNICIPAL - CALLE DENOMINADA ATANASIO CABAÑAS, MARY LIONS Y LA TOTALIDAD DE LA CALLE 6 UBICADO EN EL BARRIO CUATRO MOJONES DE LA CIUDAD DE LAMBARE - presentado por la Diputada Jazmín Narváez. ",http://silpy.congreso.gov.py/expediente/128086,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371819,24/04/2023,128086,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"DE PROTECCION, SALVAGUARDA Y PRESERVACION DEL ACERVO HISTORICO, CULTURAL Y CIENTIFICO DE LOS MUSEOS DEL PARAGUAY. Presentado por el Diputado Hugo Ramirez",http://silpy.congreso.gov.py/expediente/128085,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371809,21/04/2023,128085,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"Proyecto de Resolución “QUE PIDE INFORME AL PODER EJECUTIVO – PRESIDENCIA DE LA REPÚBLICA”, presentado por el Senador Stephan Rasmussen González, de fecha 20 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128084,PRIMER TRÁMITE CONSTITUCIONAL,INGRESO DE RESPUESTA A PEDIDO DE INFORME,EN TRAMITE,S-2311453,24/04/2023,128084,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Ley “QUE DESAFECTA DEL DOMINIO PÚBLICO MUNICIPAL Y AUTORIZA A LA MUNICIPALIDAD DE SAN LORENZO A TRANSFERIR A TÍTULO ONEROSO A FAVOR DE SU ACTUAL OCUPANTE, UN INMUEBLE INDIVIDUALIZADO COMO FINCA MATRIZ N° 11.711, CTA. CTE. CTRAL. N° 27-0721 – 01, UBICADO EN EL BARRIO SANTA ANA DEL CITADO MUNICIPIO”, presentado por el Senador Oscar Rubén Salomón Fernández, de fecha 24 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128083,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311452,24/04/2023,128083,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Ley “QUE AMPLÍA EL PRESUPUESTO GENERAL DE LA NACIÓN PARA EL EJERCICIO FISCAL 2023, APROBADO POR LEY N° 7050/2023 ‘MINISTERIO DE LA NIÑEZ Y LA ADOLESCENCIA”, presentado por los Senadores Oscar Hugo Richer Florentín, José Gregorio Ledesma Narváez, Silvio Adalberto Ovelar Benitez, Esperanza Martínez de Portillo, Enrique Salyn Concepción Buzarquis Cáceres y Miguel Fulgencio Rodríguez Romero, de fecha 24 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128082,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311451,21/04/2023,128082,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"QUE DECLARA DE INTERÉS NACIONAL LA ""PRIMERA SEMANA INTERNACIONAL DE ESCULTISMO, SOBRE LAS AGUAS"", presentado por los Diputados Nacionales Hugo Capurro y Pastor Vera",http://silpy.congreso.gov.py/expediente/128081,FINALIZACIÓN DE TRAMITACIÓN,SE COMUNICA A QUIEN CORRESPONDA,COMUNICADO,D-2371735,19/04/2023,128081,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
